1041007,哈利·波特与魔法石,,[英] J. K. 罗琳,苏农,人民文学出版社,2000-9,19.50元,9.0
26871656,哈利·波特与被诅咒的孩子,,[英] 约翰·蒂法尼、杰克·索恩、J.K.罗琳,马爱农,人民文学出版社,2016-10,69.00元,7.4
1028779,神奇动物在哪里,,[英] 纽特·斯卡曼,一目,人民文学出版社,2001-10,3.50元,8.1
1071241,哈利·波特与阿兹卡班的囚徒,,[英] J. K. 罗琳,郑须弥,人民文学出版社,2000-9,26.50元,8.9
1039487,哈利·波特与密室,,[英] J. K. 罗琳,马爱新,人民文学出版社,2000-9,22.00元,8.8
2295163,哈利·波特与死亡圣器,,[英] J. K. 罗琳,马爱农、马爱新,人民文学出版社,2007-10,66.00元,8.9
1009257,哈利·波特与火焰杯,,[英] J. K. 罗琳,马爱新,人民文学出版社,2001-5,39.80元,8.9
26854188,罪恶生涯,科莫兰·斯特莱克推理系列,[英] 罗伯特·加尔布雷思,李天奇,人民文学出版社,2017-1-25,50.00元,8.1
1432596,哈利·波特与混血王子,,[英] J. K. 罗琳,马爱农、马爱新,人民文学出版社,2005-10,58.00元,8.8
19898714,偶发空缺,,[英] J. K. 罗琳,任战、向丁丁,人民文学出版社,2012-10,57.00元,7.6
1013129,哈利·波特与凤凰社,,[英] J. K. 罗琳,马爱农、马爱新、蔡文,人民文学出版社,2003-9,59.00元,8.7
3338175,诗翁彼豆故事集,赫敏·格兰杰译自如尼文,[英] J. K. 罗琳,马爱农,人民文学出版社,2008-12,18.00元,7.9
26352281,蚕,,[英] J. K. 罗琳,马爱农,人民文学出版社,2008-12,18.00元,7.5
1084341,神奇的魁地奇球,,[英] 肯尼沃思·惠斯普,一目,人民文学出版社,2001-10,3.30元,7.8
1736652,哈利•波特(共6册) (精装),,J.K.罗琳,,人民文学出版社,2005年11月1日,320.0,9.1
2281184,哈利·波特百科全书,,哈利•波特百科全书编委会,,新星出版社,2007.10,98.00元,7.7
6064691,Fantastic Beasts and Where to Find Them,,J. K. Rowling,,Bloomsbury,2009,67.00元,8.6
5355702,哈利·波特的哲学世界,如果亚里士多德掌管霍格沃茨,[美] 大卫·巴格特、肖恩·克莱因  编,于霄、刘晓春,上海三联书店,2010-11,26.00元,7.4
6774137,哈利·波特百科全书,,《哈利·波特百科全书》编委会 编,,北京理工大学出版社,2011-7,98.00元,8.1
6872645,Harry Potter Page to Screen,The Complete Filmmaking Journey,McCabe, Bob,,Harper Design,2011-10,USD75.00,9.9
1095495,哈利·波特的魔法世界,一座神话、传说和神奇事实的宝库,[美] 戴维·科尔伯特,麦秸,人民文学出版社,2002-4,13.80元,6.8
2158211,哈里波特套装1-6 Harry Potter Boxed Set,,J.K. Rowling,,Bloomsbury Publishing, PLC,2005,£85,9.1
1895107,霍格沃茨的中国留学生-哈利波特,,J.K. Rowling,,Bloomsbury Publishing, PLC,2005,£85,7.1
21993097,Special Edition Harry Potter Paperback Box Set,,J.K. Rowling,,Scholastic Inc.,2013-8-27,USD 100.00,9.6
3485760,Harry Potter - The Complete Story: Collected Audio Edition [Audiobook],,J.K.Rowling、Stephen Fry,,Bloomsbury Publishing PLC,2008,£350.00,9.8
25840545,布谷鸟的呼唤,,(英)罗伯特·加尔布雷思,梅静、楼武挺,人民文学出版社,2014-4-26,49.00元,7.2
1949400,HARRY POTTER and the Philosopher s Stone(1-6),,J.K. Rowling,,Bloomsbury Publishing PLC,2006-10,469.0,9.4
25880787,哈利·波特与心理学,大难不死的男孩和他的小伙伴们,[美] 尼尔·墨霍兰德  编著,穆岩,电子工业出版社,2014-6,49.00元,7.2
21993090,Harry Potter and the Prisoner of Azkaban - Book 3,,[美] 尼尔·墨霍兰德  编著,穆岩,电子工业出版社,2014-6,49.00元,9.6
6057347,Quidditch Through the Ages,,[美] 尼尔·墨霍兰德  编著,穆岩,电子工业出版社,2014-6,49.00元,7.9
3986723,好运泉,双猫舍丛刻之：好运泉,J.K Rowling,Lewis Eden,Twin Kitten Studio,2009,49美元,9.4
2161229,哈利波特6+1之神秘事务司,,阿布思·邓不利多,,第1版 (2007年5月1日),2007-5,35.0,7.7
25885585,J.K.罗琳:生命是一个奇迹,,洛凛,,中国华侨出版社,2014-6,35.00元,7.2
3784383,Harry Potter Paperback Box Set,,J. K. Rowling,,Arthur A. Levine Books,2009-7-1,598.00元,9.4
2478635,Harry Potter and International Relations,,Iver B. Neumann Daniel Nexon,,Rowman & Littlefield Publishers,2006-05-28,CAD 90.18,7.4
