1041482,万历十五年,,[美] 黄仁宇,,生活·读书·新知三联书店,1997-5,18.00元,8.9
1003479,中国历代政治得失,,钱穆,,生活·读书·新知三联书店,2001,12.00元,9.1
1046492,國史大綱（上下）,,錢穆,,商務印書館,2013-8,76.00元,9.3
3239549,夹边沟记事,,杨显惠,,花城出版社,2008-09,34.00元,9.1
26847586,哈佛中国史（全六卷）,,杨显惠,,花城出版社,2008-09,34.00元,8.8
1675478,天朝的崩溃,鸦片战争再研究,茅海建,,生活·读书·新知三联书店,2005-7,32.00元,9.0
1873231,明朝那些事儿（壹）,洪武大帝,当年明月,,中国友谊出版公司,2006-9,24.80,8.8
1077847,史记（全十册）,,司马迁,（索引）司马贞，（正义）张守节,中华书局,1982-11,125.00,9.5
2376486,中国近代史,1600-2000，中国的奋斗,[美] 徐中约,计秋枫、朱庆葆,世界图书出版公司,2008-1,66.00元,8.8
3079029,大秦帝国,,孙皓晖,,河南文艺出版社,2008-5-1,369.00元,8.8
3707886,中国通史,,吕思勉,,上海古籍出版社,2009-4-1,35.00,9.0
1015699,中国大历史,,黄仁宇,,生活·读书·新知三联书店,2007-2,19.00元,8.3
25844017,讲谈社·中国的历史（十卷本）,,(日) 宫本一夫、(日) 平势隆郎、(日) 鹤间和幸、(日) 金文京、(日) 川本芳昭、(日) 气贺泽保规、(日) 小岛毅、(日) 杉山正明、(日) 上田信、(日) 菊池秀明,吴菲、周洁、马彪、何晓毅、梁蕾、余晓潮、石晓军、乌兰、乌日娜、高莹莹、马晓娟,广西师范大学出版社,2014-2-1,CNY 568.00,8.5
26791320,哇，历史原来可以这样学1,,林欣浩,,四川少年儿童出版社,2016-4-1,29.8,8.5
1030503,东晋门阀政治,,田余庆,,北京大学出版社,2005-6-1,30.0,9.2
6533042,南明史,,顾诚,,光明日报出版社,2011-8-1,88.00元,9.3
2032141,陈寅恪魏晋南北朝史讲演录,,万绳楠,,贵州人民出版社,2007-4,29.8,8.9
1025723,潜规则,中国历史中的真实游戏,吴思,,云南人民出版社,2001-1,16.00元,8.3
25938605,天国之秋,,[美] 裴士锋 (Stephen R.Platt),黄中宪、谭伯牛（校）,社会科学文献出版社,2014-11-10,69.00元,8.7
20473505,山月记,,[日]中岛敦,韩冰、孙志勇,中华书局,2013-5,28,8.7
1072295,資治通鑑（全二十冊）,,[宋] 司馬光 編著、[元] 胡三省 音注,標點資治通鑒小組 校點,中華書局,1956-6,332.00元,9.3
10740958,剑桥中国史（全十册）,,费正清,杨品泉,中国社会科学出版社,2012-1,999.00元,8.9
26891290,哈佛极简中国史,从文明起源到20世纪,[美] 阿尔伯特·克雷格,李阳,中信出版社·新思文化,2016-11,48.00,8.2
1006560,血酬定律,中国历史中的生存游戏,吴思,,中国工人出版社,2003-08,23.80,8.2
1055304,中国历史地图集（全八册）,,谭其骧,,中国地图出版社,1982-10,482.00元,9.5
