25961455,重读,在咖啡馆遇见14个作家,唐诺,,广西师范大学出版社,2015-1,56.00,8.4
1351678,夏宇詩集／Salsa,,夏宇,,現代詩,1999 年 09 月 15 日,NT$320,9.0
1038476,小说稗类,,张大春,,广西师范大学出版社,2010-10,33.00元,8.7
6048071,七声,,葛亮,,作家出版社,2011-4,28.00元,8.6
4189984,周夢蝶詩文集,,周夢蝶,,印刻文學生活雜誌出版有限公司,2009-12-23,NT$ 1160,9.5
1316606,無愛紀,智慧田029,黃碧雲,,大田出版有限公司,2001-4-1,TWD 250,8.6
1939451,哀豔是童年,,胡淑雯,,印刻,2006-11-10,NT$230,8.7
6937888,树犹如此,,白先勇,,广西师范大学出版社,2011-11,39.00元,8.5
1291570,简媜散文,,简媜、伊始（编）,,浙江文艺出版社,2000-03-01,15.0,8.9
26363718,谁在银闪闪的地方，等你,老年书写与凋零幻想,简媜,,长江文艺出版社,2015-4,42.00元,8.5
1458164,她是女子，我也是女子,,黃碧雲,麥田出版有限公司,1994,10,HK$47,8.3
3662594,荒人手记,,朱天文,,山东画报出版社,2009-5,25.00,8.1
11527635,鳄鱼手记,,邱妙津,,广西师范大学出版社,2012-8-15,32.00元,8.1
4621342,世纪末的华丽,小说集1988-1990,朱天文,,上海译文出版社,2010.4,18.00元,7.8
4154985,天工开物·栩栩如真,“自然史”三部曲之一,董启章,,上海人民出版社,2010-3,29.00元,8.3
24697463,改變世界的萬物事典,看得見的人類文明演化型錄,平凡社編輯部,,黃郁婷,漫遊者文化,2013-5,8.4
25764295,百年好合,民国素人志,蒋晓云,,新星出版社,2014-1-1,32.00元,8.4
2377014,阅读的故事,,唐诺,,上海人民出版社,2010年8月,32.00元,8.2
4169342,女儿红,,简媜,,文化艺术,2011-1,18.00元,8.6
1351677,夏宇詩集／腹語術,,简媜,,文化艺术,2011-1,18.00元,9.0
26578400,煮海时光,侯孝贤的光影记忆,[美] 白睿文,,广西师范大学出版社,2015-9,69.00元,8.2
6388661,这些人，那些事,,吴念真,,译林出版社,2011-9,28.00元,8.8
1370750,突然我記起你的臉,智慧田005,黃碧雲,,臺北大田,1998,NT$ 180,8.6
4215678,我城,,西西,,广西师范大学出版社,2010-1,26.00元,7.9
1288916,伤心咖啡店之歌,,朱少麟,,作家出版社,2005-3,25.00元,8.6
1985973,備忘錄,,朱少麟,,作家出版社,2005-3,25.00元,9.1
6864274,我愛過的那個時代,當時，我們以為可以改變世界,川本三郎,賴明珠,新經典,2011-10,NT. 280,8.8
1083883,席慕蓉经典作品,,席慕蓉,,当代世界出版社,2004-9-1,22.80元,8.7
1018577,霸王别姬 青蛇,,李碧华,,花城出版社,2001-5,21.00元,8.9
2344563,邱妙津日記(上下),,邱妙津,,印刻文學,2007.12.5,599NT,8.9
22745953,辛波斯卡,,Wislawa Szymborska,,陳黎  張芳齡,2011-4-7,NT$ 270,9.4
25761068,天桥上的魔术师,,吴明益,,新星出版社,2013-12,28.00元,8.5
2287123,時裝時刻,my fashion moments 87-07,黎堅惠,,三聯書店(香港)有限公司,2007,港币150元,8.3
2268780,屁眼文化,,約翰•高登醫師（Dr. Jean Gordin）、奧立維爾•瑪帝醫師（Dr. Olivier Marty）,林雅芬,八方出版股份有限公司,2005-12-01,台币320.00,8.4
2155295,牯嶺街少年殺人事件,一部不一樣電影的分鏡劇本,楊德昌、鴻鴻、楊順清、賴銘棠,,時報文化企業出版有限公司,民國八十年,NT 200,9.2
1473957,慢慢快活,好想懶惰,歐陽應霽 編集,,大塊文化,2006年2月,新台币300元,7.9
1351961,怎樣製造一顆核子彈,,法蘭克·巴納比,高嘉玲,商周,2004-7-20,NT$ 200,9.0
5337243,纽约客,,白先勇,,广西师范大学出版社,2010.10,32.00元,8.6
5337250,寂寞的十七岁,,白先勇,,广西师范大学出版社,2010-10,39.00元,8.3
4901590,初夏荷花时期的爱情,,朱天心,,上海人民出版社,2010年8月,26.00元,7.7
5423772,西夏旅馆,,骆以军,,广西师范大学出版社,2011-6,78.00元,7.8
5367304,城邦暴力团（上）,,张大春,,上海人民出版社,2011-1,36.00元,8.3
2009489,亞細亞的孤兒,,吳濁流,,遠景,1993年9月10日,180元,8.3
4736082,像我这样的一个女子,,西西,,广西师范大学出版社,2010-05,22.00元,7.9
7051478,詩60首,,夏宇,,夏宇,2011-12-5,NT380,9.0
1316605,温柔与暴烈,,黄碧云,,天地圖書,1994,HK$40.00,8.7
6729209,遣悲怀,,骆以军,,上海人民出版社,2011-8,32.00元,7.7
2216174,粉红色噪音,,骆以军,,上海人民出版社,2011-8,32.00元,8.7
1337022,布考斯基煮了七十年的一鍋東西,,查理．布考斯基,巫士,圓神,2005-6,NT$ 330,8.3
1705507,胭脂扣,,李碧华,,新世界出版社,2006-1,18.00元,8.0
1341035,痛快日记,,蔡康永,皇冠文化,1998,08,170,8.2
4173156,细说红楼梦 1-80回,,蒋勋,,耕心藝術欣賞工作室,2003-9-1,NT$ 44800,9.6
3642673,我执,,梁文道,,广西师范大学出版社,2010-10,35.00元,8.0
1353736,摩擦．無以名狀,,夏宇,,現代詩季刊社,1995,79.00,8.7
10440147,世间的名字,,唐诺,,上海人民出版社,2012-8,39.00元,8.3
5402205,空灵,简媜读山水诗,简媜,,万卷出版公司,2011-1-1,20.00元,8.5
24851265,朝鮮聞見錄,,胡成,,三聯書店(香港)有限公司,2013-7-17,HKD 138.00,8.4
1261153,青蛇,,李碧华,,天津人民出版社,2005-1,16.00元,8.4
1831760,弱水三千,梁文道書話,梁文道,,UP Publications,2008,港币59元,8.0
11637051,平壤水族馆,我在北韩古拉格的十年,姜哲煥、皮耶·李古樂,鐘玉玨,衛城出版,2012-9-5,NT$300,8.1
1012221,浮生三记,,沈君山,,三联书店,2003-10,18.00,8.2
10529099,笑红尘,,古龙、陈舜仪 整理,,时代文艺出版社,2012-6,46.00元,8.2
3035733,蜂蜜綠茶,,John Ho,,三聯書店(香港)有限公司,2008年4月,HKD108.00,8.3
