"26957420","临高启明","","'[美] 彼得·海斯勒'","'李雪顺'","'上海译文出版社'","'2011-1'","'33.00元'","9.5"
"26853361","夜旅人","","赵熙之","","百花洲文艺出版社","2016-9","32.80元","8.6"
"20501270","大唐明月1·风起长安","","蓝云舒","","上海文艺出版社","2013-1","27.00元","8.6"
"3155622","庆余年·壹","天下权臣宝典","猫腻","","中国友谊出版公司","2008-7","28.00元","8.3"
"1812439","步步惊心","","桐华","","民族出版社","2006-6","25.00元","8.1"
"6139592","11处特工皇妃","","潇湘冬儿","","江苏文艺出版社","2011-5","74.80元","8.1"
"3561591","凤囚凰（上中）","","天衣有风","","河南文艺出版社","2009-3","49.80","8.0"
"3123939","不负如来不负卿1","","小春","","北岳文艺出版社","2008-6","26.80元","8.0"
"10468852","海棠依舊: 知否? 知否? 應是綠肥紅瘦 卷一","故園今日海棠開，只有名花苦幽獨","關心則亂","","三采文化出版事業有限公司","2012-2-3","NT$240","8.6"
"3522694","史上第一混乱·第一季神仙预备役","","张小花","","黄山书社","2009-1","26.80","8.6"
"2048364","独步天下（上下卷）","","李歆","","朝华出版社","2007-4","49.80元","8.1"
"2009825","绾青丝Ⅰ","青楼篇","波波","","花山文艺出版社","2007-2","22.00元","7.6"
"1958655","寻找前世之旅（上下册）","","Vivibear","","河南文艺出版社","2007-1","40.00元","7.6"
"4838107","新宋","","阿越","","东方出版社","2010-5","37.00元","8.1"
"2281912","醉玲珑（上卷）","","十四夜","","朝华出版社","2007-10","29.80元","7.7"
"2373834","新宋·十字1","","阿越","","花山文艺出版社","2008-01","22.0","8.3"
"3015088","极品家丁 1","","禹岩","","广西人民出版社","2008-03","29.80元","7.6"
"2699701","歌尽桃花","","靡宝","","朝华出版社","2008-1","25.00元","7.6"
"6437035","扶摇皇后（上下）","","天下归元","","江苏文艺出版社","2011-6","49.80元","7.8"
"2300626","蔓蔓青萝（全2册）","","桩桩","","重庆出版社","2007-10","39.00元","7.5"
"6790474","别拿穿越不当工作（全三册）","","楼笙笙","","万卷出版社","2011-6-1","72.00元","8.4"
"2220812","木槿花西月锦绣1","","海飘雪","","作家出版社","2007-7","24.80元","7.6"
"10559304","太子妃升职记","","鲜橙","","万卷出版公司","2012-4","29.80元","6.8"
"10527811","官居一品（全七册）","","三戒大师","","中国青年出版社","2012-3","175.00元","8.5"
"3072649","窃明","","灰熊猫","","南海出版社","2008-05","29.8","7.9"
"25880334","大唐明月6·谁家天下（完）","","蓝云舒","","上海文艺出版社","2014-4","33.00元","8.7"
"3710879","凤囚凰（下）","","天衣有风","","河南文艺出版社","2009-5-1","25.00元","8.1"
"25839869","大唐明月5·云诡波谲","","蓝云舒","","上海文艺出版社","2014-1","27.00元","8.7"
"3218402","不负如来不负卿Ⅱ·大结局","","小春","","北岳文艺出版社","2008-09","26.8","8.2"
"1468493","梦回大清","","金子","","朝华出版社","2006-1","25.00元","7.6"
"2974188","回到明朝当王爷","","月关","","太白文艺","2007","22","7.6"
"5275312","暴君，我来自军情9处","","潇湘冬儿","","江苏文艺出版社","2011-10","75.00元","7.5"
"26436202","清川日常","","多木木多","","花山文艺出版社","2015-7","59.80元","8.2"
"2138527","法老的宠妃","","悠世","","朝华出版社","2007-06","29.80元","7.5"
"4130055","跨过千年来爱你","","秋夜雨寒","","沈阳出版社","2009-11","28.80","7.2"
"19958299","大唐女法医·江南卷（上下）","","袖唐","","新世界出版社","2012-10","52.00元","7.6"
"20501271","大唐明月2·谋断恩仇","","蓝云舒","","上海文艺出版社","2013-1","29.80元","8.6"
"10447495","1938","Hitler's Gamble","Giles MacDonogh","","Basic Books","2011-5-10","USD 16.99","9.3"
"2138767","清风入梦·怡殇Ⅰ","清风入梦系列之一","凛冽","","朝华出版社","2007-07","22.0","8.0"
"2062202","绾青丝Ⅲ","风华篇","波波","","花山文艺出版社","2007-5","22.00元","7.9"
"6730936","扶摇皇后·终结篇（上下）","","天下归元","","江苏文艺出版社","2011-7","49.80元","8.2"
"3550601","双阙","","海青拿天鹅","","中国画报出版社","2009-1","29.80元","7.5"
"3074810","穿越与反穿越","","桃之舟","","北岳文艺出版社","2008-5","26.80元","7.3"
"3244068","庆余年·陆","","猫腻","","中国友谊出版公司","2008-10","29.80元","8.5"
"5414115","错嫁良缘之一代军师（上下）","","浅绿","","北方妇女儿童出版社","2011-1","45.00元","7.4"
"26718236","木兰无长兄1","","祈祷君","","百花洲文艺出版社","2016-2","29.80元","8.0"
"3389971","永夜（上下）","","桩桩","","朝华出版社","2009-1","49.80元","7.7"
"3170442","午门囧事Ⅰ","帝灵篇","影照","","花山文艺出版社","2008-9","26.80元","7.7"
"3177843","木槿花西月锦绣3","","海飘雪","","作家出版社","2008-09","28.80元","7.7"
"1668021","寻秦记","","黄易","","华艺出版社","1997年11月1日","138.0","8.1"
"26657576","异乡人","谜一样的武士","[美] 戴安娜·加瓦尔东","林家任、郭虹均","百花洲文艺出版社","2016-6","36.00元","7.5"
"3165135","庆余年·贰","","猫腻","","中国友谊出版公司","2008-07","28.00元","8.5"
"21336788","大唐明月3·西域烽烟","","蓝云舒","","上海文艺出版社","2013-1","29.00元","8.7"
"2139108","潇然梦（上）","","小佚","","朝华出版社","2007-06","29.8","7.4"
"3039108","极品家丁2","","禹岩","","广西人民出版社","2008-04","29.8","7.9"
"3037790","小楼传奇","","纳兰容若公子、老庄墨韩","","百花洲文艺出版社","2008-04","23.8","8.2"
"11614388","军火皇后（上下）","","潇湘冬儿","","青岛出版社","2012-9","59.80元","7.2"
"21346268","大唐明月4·碧血黄沙","","蓝云舒","","上海文艺出版社","2013-1","29.00元","8.7"
"2139618","寻找前世之旅续集","","Vivibear","","朝华出版社","2007-06","29.8","7.5"
"19977093","天定风流1·千寻记（上下）","","天下归元","","青岛出版社","2012-10","55.00元","7.8"
"10831608","乱世倾君心（全二册）","","若花燃燃","","光明日报出版社","2012-8","56.00元","7.5"
"2975947","笑倾三国（Ⅰ、Ⅱ）","","梦三生","","华文出版社","2008-01","46.00","7.5"
"2040347","Outlander","","Diana Gabaldon","","Random House Publishing Group","1992-6-2","72.00元","7.8"
"5379541","执子之手，将子拖走","","天下无病","","中国文联出版公司","2010-11","32.80元","7.1"
"23720194","海棠依舊：知否？知否？應是綠肥紅瘦 卷七 那人卻道，海棠依舊 完","","'天下无病'","''","'中国文联出版公司'","'2010-11'","'32.80元'","8.6"
"26296039","假凤惊鸾","","燕青萝","","江苏凤凰文艺出版社","2015-2","75.00元","6.6"
"25832464","凤逆苍穹1","黑水禁牢","路非","","江苏文艺出版社","2014-2","55.00元","8.6"
"7440370","非我倾城（全三册）","王爷要休妃","墨舞碧歌","","江苏文艺出版社","2012-2","85.00元","7.8"
"20507294","大唐女法医·帝京卷（上下）","","袖唐","","新世界出版社","2013-2","59.00元","7.6"
"3135064","薄荷荼靡梨花白","","电线","","百花洲文艺出版社","2008-06","28.00元","6.9"
"3165386","庆余年·肆","","猫腻","","中国友谊出版公司","2008-09","28.00元","8.6"
"2028070","绾青丝Ⅱ","沧都篇","波波","","花山文艺出版社","2007-3","22.00元","7.8"
"26738321","思美人","","海青拿天鹅","","青岛出版社","2016-3","55.00元","6.9"
"5325550","若爱只是擦肩而过","","秋夜雨寒","","国际文化出版公司","2010-10","28.00元","7.4"
"2998731","到开封府混个差事","","欧阳墨心","","珠海出版社","2008-01","24.8","8.3"
"6805154","再生缘（上中下）","我的温柔暴君","墨舞碧歌","","江苏文艺出版社","2011-9","75.00元","7.6"
"2241269","清风入梦·怡殇Ⅱ","","凛冽","","朝华出版社","2007-08","22.0","8.2"
"2004509","梦回大清","终结篇","金子","","朝华出版社","2007-2","22.00元","7.6"
"2213684","又一春","","'金子'","''","'朝华出版社'","'2007-2'","'22.00元'","8.3"
"10344574","傲风","","风行烈","","江苏文艺出版社","2012-2","49.80元","8.0"
"2300051","勿忘","","因爱","","朝华出版社","2007-10","23.8","7.7"
"25791940","战起1938","","疯丢子","","江苏文艺出版社","2013-12-1","46.80","8.4"
"20432513","坑你三生三世","","茂林修竹","","新世界出版社","2013-1","29.80元","7.6"
"2327556","不辞冰雪为卿热（全2册）","","青木香","","现代出版社","2007-11","42.0","7.6"
"3056907","宸宫（上下）","","沐非","","朝华出版社","2008-04","45.00元","7.3"
"2382087","绾青丝Ⅳ（下）","绝胜篇","波波","","花山文艺出版社","2008-1","23.80","7.8"
"1098640","康州美国佬在亚瑟王朝","","(美)马克﹒吐温","何文安、张煤","译林出版社","2002-1","16.50","8.1"
"2382094","绾青丝Ⅳ（上）","绝胜篇","波波","","花山文艺出版社","2008-1","23.80","7.8"
"3250733","午门囧事Ⅱ","西陵篇","影照","","花山文艺出版社","2008-11","26.80","7.8"
"3696953","绿红妆之军营穿越","","金子","","百花文艺出版社","2009-4","45.00元","7.9"
"2375894","秀丽江山·白虎卷","","李歆","","朝华出版社","2008-01","22.0","7.9"
"3071317","此心无垠（全2册）","","无非由","","长江文艺出版社","2008-04","46.0","7.2"
"2221121","木槿花西月锦绣2","","海飘雪","","作家出版社","2007-07","24.8","7.8"
"26729926","异乡人2","被诅咒的婚约","[美] 戴安娜·加瓦尔东、Diana Gabaldon","林家任、郭虹均","百花洲文艺出版社","2016-7","36.00","7.2"
"1464824","交错时光的爱恋","","席绢","","江苏文艺出版社","1995-2-1","9.00","7.9"
"2048588","第一皇妃（Ⅰ、Ⅱ）","","犬犬","","朝华出版社","2007-04","35.0","7.6"
"20492216","冷皇戏凤（全二册）","","楚清","","江苏文艺出版社","2013-1","56.00元","7.5"
"5297359","错嫁良缘之洗冤录","","浅绿","","北方妇女儿童出版社","2010-10","29.80元","7.3"
"3165385","庆余年·叁","","猫腻","","中国友谊出版公司","2008-09","28.00元","8.5"
"2595030","华丽诱惑·穿越到后宫做妃子","","木轻烟","","珠海出版社","2008-01","25.8","5.8"
"4833933","小女花不弃","","桩桩","","江苏文艺出版社","2010-6","29.80元","7.4"
"2340167","醉玲珑（下卷）","","十四夜","","朝华出版社","2007-12","22.00元","7.9"
"10775030","海棠依舊：知否？知否？應是綠肥紅瘦 卷四","淡極始知花更豔，一片春心向海棠","關心則亂、呀呀","封面繪圖","三采","2012-6-1","CNY 56.00","8.5"
"2340168","醉玲珑（中卷）","","十四夜","","朝华出版社","2007-12","22.0","7.9"
"6861939","帝凰（上中下）","","天下归元","","江苏凤凰文艺出版社","2011-9","75.00元","7.6"
"3024940","新宋Ⅱ·权柄1","","阿越","","花山文艺出版社","2008-04","25.0","8.6"
"4144066","江山（一）","初入帝都","墨武","","云南人民出版社","2009-11","29.80元","8.5"
"26148476","绝世无双2崛起荒芜","","夜北","","江苏文艺出版社","2014-11","58.00元","7.0"
"11528163","牡丹冠天下1·絕處逢生","","意千重","","希代","2012-5-26","NT$250元","7.6"
"3561593","重生于康熙末年（一）","转流年","雁九","","黄山书社","2009-3","26.80元","8.1"
"3426048","平凡的清穿日子1","","柳依华","","沈阳出版社","2009-1","28.80元","7.6"
"21331202","天定风流2·金瓯缺（上下）","","'柳依华'","''","'沈阳出版社'","'2009-1'","'28.80元'","8.2"
"2176855","潇然梦（下）","","小佚","","朝华出版社","2007-07","29.8","7.5"
"25700787","掌事(卷一)","","清楓聆心","","說頻文化","2013-6-11","NTD 250","7.8"
"3611391","史上第一混乱·第二季·山寨武校","","张小花","","黄山书社","2009-3","26.80元","8.7"
"2037461","穿越时空之生死恋","","怜心","","花山文艺出版社","2007-04","21.0","6.6"
"26255852","天定风华7·凤归来（上下）","","天下归元","","江苏文艺出版社","2014-11","59.80元","8.1"
"2044743","穿越时空之错爱唐朝","","怜心","","花山文艺出版社","2007-04","21.0","6.3"
"25838009","女心理师之江湖断案","","明月听风","","北方文艺出版社","2014-3","59.80元","7.6"
"6266299","玉氏春秋（上下）","","林家成","","团结出版社","2011-4-1","49.80元","7.4"
"6905092","王的时尚女友","","西小洛","","湖南少年儿童出版社","2011-9","24.80元","7.2"
"3894603","穿越之天雷一部（全二册）","","蜀客","","北方妇女儿童出版社","2009-7-1","49.80元","7.6"
"2981704","绝色赌妃Ⅱ","","晚歌清雅","","江苏文艺出版社","2008-01","22.0","6.8"
"3198370","穿越时空爱上你","","'晚歌清雅'","''","'江苏文艺出版社'","'2008-01'","'22.0'","6.4"
"2257608","秀丽江山·青龙卷","","李歆","","朝华出版社","2007-09","25.0","7.9"
"3427342","第一皇妃Ⅳ、Ⅴ","","犬犬","","朝华出版社","2009-1","45.00元","7.9"
"4889767","步步生莲（全14卷）","","'犬犬'","''","'朝华出版社'","'2009-1'","'45.00元'","7.5"
"24863533","纨绔世子妃（上下）","","西子情","","青岛出版社","2013-8","49.80元","6.9"
"2304613","绝色赌妃Ⅰ","","晚歌清雅","","江苏文艺出版社","2007-11","22.0","6.7"
"2363678","和亲公主","","鲜橙","","重庆出版社","2008-01","29.8","6.7"
"2232921","樱之恋系列 （全8种）","一号多书","'鲜橙'","''","'重庆出版社'","'2008-01'","'29.8'","7.9"
"10566532","海棠依舊：知否？知否？應是綠肥紅瘦 卷二","一從梅粉褪殘妝，塗抹新紅上海棠","''鲜橙''","''''","''重庆出版社''","''2008-01''","''29.8''","8.6"
"4887684","情迷北宋之北落师门","","侧侧","","木馬文化事業有限公司","2007","55.00元","7.7"
"2995606","宅女在古代后宫的幸福生活（全2册）","","云狐不喜","","华文出版社","2008-03","46.0（上、下）","6.9"
"3766379","新宋Ⅲ·燕云3","","阿越","","花山文艺出版社","2009-6-1","25.00元","8.6"
"2343018","寻找前世之流年转","","Vivibear","","新世界出版社","2008-01","22.00","7.4"
"25982108","缚石","","君芷锍","","江苏凤凰文艺出版社","2014-9-20","57.80元","7.2"
"22051559","彼岸花开为君颜（上中下）","","穆丹枫","","新世界出版社","2013-2","80.00元","7.0"
"25963640","第一风华1·天赐良缘（上下）","","梵缺","","江苏文艺出版社","2014-9","49.80元","6.5"
"4149332","芊泽花开（全二册）","","酒壑盛人","","长江文艺出版社","2009-7","49.80元","7.0"
"3288009","篡清1·京华烟云","","天使奥斯卡","","太白文艺出版社","2008-11","31.80元","7.8"
"25766551","唐砖1·土豆有妖气","","孑与2","","文心出版社","2013-10","25.00元","7.3"
"10558083","特工皇妃（全三册）","特工皇妃，皇上我要废了你","一世风流","","新世界出版社","2012-4","80.00元","7.5"
"3239554","新宋Ⅲ·燕云1","","阿越","","花山文艺出版社","2008-10","29.80元","8.6"
"3786933","骑士幻想夜Ⅱ","","Vivibear","","华文出版社","2009-06","25.00元","7.3"
"3153363","三救姻缘","","笑声","","朝华出版社","2008-07","25.0","7.1"
"20283081","庶女攻略1","","吱吱","","浙江文艺出版社","2012-11","32.00元","7.5"
"10594424","月沉吟（上下）","","卿妃","","朝华出版社","2012-5","49.80元","7.2"
"26832560","凤凰错1宁弃天下换卿心","","阿彩","","青岛出版社","2016-5-1","USD 59.8","7.7"
"25934782","盛世良缘","","凤轻","","江苏文艺出版社","2014-8","79.80元","6.8"
"25929620","君心似我心","","随侯珠","","三秦出版社","2014-7-1","24.8元","6.5"
"3274141","秀丽江山·朱雀卷","","李歆","","朝华出版社","2008-11","25.0","7.9"
"25765018","三生三世彼岸花·完美终结（上下）","","女巫的猫、abbyahy","","江苏文艺出版社","2013-11","55.00元","8.1"
"26257217","The Fantasies of Robert A. Heinlein","","Robert A. Heinlein","","Tor Books","1999-11-15","USD 27.95","8.0"
"5336752","新宋Ⅲ·燕云4","燕云4","阿越","","花山文艺出版社","2010年","29.80元","8.5"
"25750166","天定风华4·此心倾（上下）","","天下归元","","江苏文艺出版社","2013-11","59.90元","8.3"
"2973646","少年丞相世外客","","小佚","","河南文艺出版社","2008-01","27.00","7.4"
"2993425","神仙也有江湖（上）","","柳暗花溟","","花山文艺出版社","2008-03","25.00元","7.5"
"4912789","八夫临门","三夫四侍真要命","'柳暗花溟'","''","'花山文艺出版社'","'2008-03'","'25.00元'","7.0"
"2007843","若相惜Ⅰ","","懒水","","花山文艺出版社","2007-02","20.0","6.4"
"4583098","瑾年绝恋.醉流苏","","安知晓","","沈阳出版社","2010-1","28.80元","7.2"
"3269217","穿越时空之绝色神偷3","","晓月叮咚","","湖南少年儿童出版社","2008-11","16.80元","6.2"
"11443267","杀手皇妃","","穆丹枫","","江苏文艺出版社","2012-8","78.00元","6.8"
"2120811","穿越只为遇见你","","小逍主","","北方文艺出版社","2007-05","23.8","6.1"
"19986456","极品殿下（全2册）","","穆丹枫","","江苏文艺出版社","2012-10","49.80元","7.0"
"10739632","海棠依舊：知否？知否？應是綠肥紅瘦 卷三","海棠不惜胭脂色，不待金屋薦華堂","關心則亂、呀呀","","封面繪圖","三采","2012-5-4","8.5"
"3003680","满朝文武爱上我（全2册）","","云霓","","珠海出版社","2008-02","50.0","6.9"
"6827318","白发皇妃（上下）","","莫言殇","","江苏文艺出版社","2011-9-1","49.80元","6.5"
"20274086","海棠依舊：知否？知否？應是綠肥紅瘦卷六 嫣然一笑新妝就，春園海棠花獨妍","","關心則亂","","三采文化","2012-11-9","NTD240","8.6"
"4834521","驭夫36计（上下）","","柳暗花溟","","江苏文艺出版社","2010-4","45.00元","6.9"
"20254852","大唐明月 卷三：將計就計","將計就計","'柳暗花溟'","''","'江苏文艺出版社'","'2010-4'","'45.00元'","8.8"
"3238252","金屋恨","","柳寄江","","吉林美术出版社","2008-07","22.0","7.4"
