26708119,机器学习,,周志华,,清华大学出版社,2016-1-1,88.00元,8.9
1148282,计算机程序的构造和解释,原书第2版,Harold Abelson、Gerald Jay Sussman、Julie Sussman,裘宗燕,机械工业出版社,2004-2,45.00元,9.5
10750155,数学之美,,吴军,,人民邮电出版社,2012-5-1,45.00元,8.7
1230413,深入理解计算机系统,,Randal E.Bryant、David O'Hallaron,龚奕利、雷迎春,中国电力出版社,2004-5-1,85.00元,9.5
4822685,编码,隐匿在计算机软硬件背后的语言,[美] Charles Petzold,左飞、薛佟佟,电子工业出版社,2010,55.00元,9.2
1885170,算法导论（原书第2版）,,[美] Thomas H.Cormen、Charles E.Leiserson、Ronald L.Rivest、Clifford Stein,潘金贵 等,机械工业出版社,2006-9,85.00元,9.4
3288908,集体智慧编程,,TOBY SEGARAN,莫映、王开福,电子工业出版社,2009-1,59.80元,9.0
26931905,终极算法,机器学习和人工智能如何重塑世界,[美] 佩德罗·多明戈斯,黄芳萍,中信出版集团,2017-1-1,68.00元,8.5
19952400,算法（第4版）,,塞奇威克 (Robert Sedgewick)、韦恩 (Kevin Wayne),谢路云,人民邮电出版社,2012-10-1,99.00元,9.4
1139336,C程序设计语言,第 2 版·新版,（美）Brian W. Kernighan、（美）Dennis M. Ritchie,徐宝文、李志译、尤晋元审校,机械工业出版社,2004-1,30.00元,9.4
3227098,编程珠玑,第2版,Jon Bentley,黄倩、钱丽艳,人民邮电出版社,2008-10,39.00元,9.2
1139426,数据结构与算法分析,C语言描述,Mark Allen Weiss (维斯),冯舜玺,机械工业出版社,2004-1-1,35.00元,8.9
26596778,计算广告,互联网商业变现的市场与技术,刘鹏、王超,,人民邮电出版社,2015-9-1,69.00元,8.7
2061116,Pattern Recognition And Machine Learning,,Christopher Bishop,,Springer,2007-10-1,USD 94.95,9.6
3652388,程序员的自我修养,链接、装载与库,俞甲子、石凡、潘爱民,,电子工业出版社,2009-4,65.00,8.8
6862061,计算机科学概论（第11版）,,J. Glenn Brookshear,刘艺、肖成海、马小会、毛倩倩,人民邮电出版社,2011-10-1,69.00元,9.1
1231910,具体数学（英文版第2版）,计算机科学基础,[美] Ronald L. Graham、Donald E. Knuth、Oren Patashnik,,机械工业出版社,2002-8,49.00元,9.5
1834728,人工智能的未来,,Jeff Hawkins、Sandra Blakeslee,贺俊杰、李若子、杨倩,陕西科学技术出版社,2006.1,18.5,8.8
3296317,编译原理,原理、技术与工具,Alfred V. Aho、Monica S.Lam、Ravi Sethi、Jeffrey D. Ullman,赵建华、郑滔、戴新宇,机械工业出版社,2008年12月,89.00元,9.1
3004255,编程之美,微软技术面试心得,《编程之美》小组 编,,电子工业出版社,2008-3,40.00元,8.4
1130500,计算机程序设计艺术（第1卷）,基本算法,[美] Donald E. Knuth,,清华大学出版社,2002-9,80.00元,9.3
1467587,UNIX编程艺术,,Eric S. Raymond,姜宏、何源、蔡晓俊,电子工业出版社,2006-2,59.00元,9.0
