"1017143","不能承受的生命之轻","","[捷克] 米兰·昆德拉","许钧","上海译文出版社","2003-7","23.00元","8.4"
"1013225","生活在别处","","[捷克] 米兰·昆德拉","袁筱一","上海译文出版社","2004-5","25.00元","8.3"
"1060117","不朽","","米兰·昆德拉","王振孙、郑克鲁","上海译文出版社","2003-06","24.00","8.5"
"1016486","笑忘录","","[捷克] 米兰·昆德拉","王东亮","上海译文出版社","2004-1","21.00元","8.3"
"1063796","小说的艺术","","[捷克] 米兰·昆德拉","董强","上海译文出版社","2004-08","17.00元","8.6"
"1052828","玩笑","","米兰 · 昆德拉","蔡若明","上海译文出版社","2003-6-1","24.00","8.4"
"1064828","好笑的爱","","米兰・昆德拉","余中先、郭昌京","上海译文出版社","2004-01","20.00","8.4"
"25881325","庆祝无意义","","[法]米兰·昆德拉","马振骋","上海译文出版社","2014-7-1","30.00元","7.0"
"1057197","无知","","[捷克] 米兰·昆德拉","许钧","上海译文出版社","2004-8","15.00元","8.1"
"1023709","被背叛的遗嘱","","米兰・昆德拉","余中先","上海译文出版社","2003-02","17.00","8.3"
"1025336","慢","","米兰・昆德拉","马振骋","上海译文出版社","2003-03","13.00","7.9"
"1030366","身份","","[捷克] 米兰·昆德拉","董强","上海译文出版社","2003-02","14.00元","8.1"
"4191577","相遇","","[捷] 米兰·昆德拉","尉迟秀","上海译文出版社","2010年8月","20.00元","7.9"
"1037954","告别圆舞曲","","米兰・昆德拉","余中先","上海译文出版社","2004-04","20.00","8.4"
"1876746","帷幕","","[捷克] 米兰·昆德拉","董强","上海译文出版社","2006-9","18.00元","8.3"
"1011680","雅克和他的主人","一出向狄德罗致敬的三幕剧","[捷克] 米兰·昆德拉","郭宏安","上海译文出版社","2003-2","14.00元","7.8"
"1068960","阿涅丝的最后一个下午","","（加拿大）里卡尔","袁筱一","上海译文出版社","2005-01","22.00元","7.7"
"1683434","米兰·昆德拉传","二十世纪外国经典作家传记","高兴","","新世界出版社","2005-8","28.00元","6.9"
"1340784","Laughable Loves","","Kundera,Milan、米兰・昆德拉","Suzanne Rappaport","HARPER COLLINS USA","1999","USD 14.00","8.5"
"1471829","欲望玫瑰","米兰·昆德拉经典作品鉴赏系列","(捷克)米兰·昆德拉","刘恪","书海出版社","2002-06-01","19.8","7.9"
"2213865","米兰昆德拉如是说","","[捷]昆德拉著、林郁选编","","中国友谊出版公司","1993","3.4","8.4"
"1476306","L'insoutenable légèreté de l'être","Roman (Du monde entier)","Milan Kundera","François Kérel","Gallimard","1984","12,50 EUR","9.7"
"3337579","生命中不能承受之轻","哈佛蓝星双语名著导读","(捷)昆德拉|译者:苏伶童","","天津科技翻译出版公司","2009-1","10.00元","8.3"
"3712484","米兰·昆德拉小说","探索生命存在的艺术哲学","'(捷)昆德拉|译者:苏伶童'","''","'天津科技翻译出版公司'","'2009-1'","'10.00元'","7.4"
"1346104","半先知與賣文人","哈維爾評論集","''(捷)昆德拉|译者:苏伶童''","''''","''天津科技翻译出版公司''","''2009-1''","''10.00元''","7.7"
"1258342","叩问存在","米兰·昆德拉的世界","仵从巨","","第1版 (2005年1月1日)","2005-2-1","25.0","7.3"
"1812906","欲望的金苹果","","(捷) 米兰·昆德拉","曹有鹏、夏有亮","湖南文艺出版社","1989-07","2.50","8.4"
"26413081","The Festival of Insignificance","A Novel","Milan Kundera","","Harper","2015-6-23","USD 23.99","7.4"
"1139750","对话的灵光","米兰·昆德拉研究资料辑要","李凤亮，李艳编","","中国友谊出版公司","1999-1","41.00元","8.0"
"2019833","米兰. 昆德拉","","李平，杨启宁著","","四川人民","2000-9","11.50元","7.3"
"5914515","彩绘名著","","[美] 卡森·麦卡勒斯 等","李文俊 等","中国和平出版社","2005-4","16.00元","8.3"
"1455720","The Art of the Novel","Art of the Novel","Milan Kundera","","Harper Perennial Modern Classics","2003-4-1","85.0","9.2"
"1191896","诗意的冥思","米兰.昆德拉小说解读","彭少健","","西泠印社","2003-6","20.00元","7.0"
"1954613","诗·思·史","冲突与融合-米兰.昆德拉小说诗学引论","李凤亮","","商务","2006-5","22.00元","7.5"
"1441847","簾幕","","米蘭．昆德拉","翁德明","皇冠","2005","NT 250","7.7"
"4823034","不朽","","米兰·昆德拉","王振孙、孙克鲁","敦煌文艺出版社","2000","14.80","7.8"
"1486225","秋天死于冬季","","赵玫","","四川文艺出版社","2006-1","28.00元","7.0"
